identifier,metric,found_hit
O94309,1,YES
P03680,1,YES
Q9UZ54,1,YES
O75764,1,YES
P23801,1,YES
P39376,1,YES
P13055,1,YES
P67438,1,YES
Q9CPD6,0,NO
P47558,0,NO
P33701,0,NO
Q18685,1,YES
O43103,1,YES
P19777,1,YES
P37711,1,YES
Q11107,1,YES
Q12753,1,YES
P64669,0,NO
P12401,1,YES
O67453,0,YES
P0ACH9,1,YES
P12249,1,YES
O49397,1,YES
Q63630,0,YES
P27057,0,NO
P83183,0,NO
P05846,0,NO
P04867,0,YES
P39415,1,YES
P45207,1,YES
P19782,0,NO
P12342,1,YES
P11831,1,YES
Q9HB58,1,YES
O68014,1,YES
P32259,1,YES
P04382,1,YES
Q06481,0,YES
P32152,1,YES
Q9Y9V7,1,YES
P39842,1,YES
P40284,1,YES
Q04013,0,YES
P27526,1,YES
Q44777,1,YES
Q57778,0,NO
P37471,0,YES
P76575,0,YES
P03091,0,YES
Q60329,0,YES
O60308,1,YES
P29503,0,YES
Q49414,1,YES
P93002,1,YES
P44152,1,YES
Q9V2F4,1,YES
P02989,0,YES
P75620,0,NO
Q33568,1,YES
Q9Z7G4,1,YES
O32255,1,YES
Q9Z2P3,1,YES
P82094,0,NO
Q06433,0,YES
Q9PQ53,1,YES
Q9Y767,1,YES
P40287,1,YES
P15489,0,NO
O83433,1,YES
P34273,1,YES
P93277,0,NO
Q98EB3,0,NO
Q9ZDA9,1,YES
Q01214,0,YES
P58011,0,NO
Q44406,1,YES
P64923,0,YES
O94903,0,NO
P03632,1,YES
O14009,0,NO
Q24432,1,YES
P55626,1,YES
P19720,1,YES
O83593,0,NO
P27871,1,YES
P52701,1,YES
O28561,0,YES
Q8LEF3,0,YES
P11107,1,YES
P38083,0,NO
P28859,1,YES
P18416,1,YES
P41453,1,YES
P40988,0,YES
P13440,0,YES
P79005,1,YES
P11065,1,YES
Q96NJ5,1,YES
Q9RP67,1,YES
Q05370,0,NO
O83792,0,NO
P17214,1,YES
P38843,0,NO
Q9Y6R4,1,YES
O28160,0,NO
Q13144,1,YES
Q9ZPY0,1,YES
P78527,0,YES
Q01538,0,YES
Q9HMP7,0,YES
P40977,1,YES
P07261,0,YES
P26334,0,YES
P17147,1,YES
P52667,1,YES
P16090,1,YES
P43016,1,YES
P03763,1,YES
O70736,1,YES
P28349,1,YES
P09932,0,YES
P49869,1,YES
P33694,0,NO
P18494,1,YES
P27296,1,YES
Q9MUL6,0,NO
P08638,1,YES
O05396,0,YES
Q01842,1,YES
Q9NRM2,1,YES
P52605,1,YES
Q9V9A8,1,YES
Q00462,0,NO
P0AEU9,0,YES
Q09338,0,NO
Q58907,1,YES
P52698,1,YES
P34494,0,NO
P64948,1,YES
O96790,1,YES
P35168,1,YES
P35901,1,YES
P29284,1,YES
P64789,0,NO
Q06455,1,YES
Q57958,0,NO
Q05223,1,YES
O83309,0,YES
P18148,0,YES
Q8TUS7,0,YES
Q13029,1,YES
O86228,1,YES
O13705,1,YES
P76501,0,NO
P40379,0,YES
P48238,1,YES
P14301,0,YES
P20862,0,NO
P15417,1,YES
Q64201,1,YES
Q8KUV2,1,YES
P23023,1,YES
P52662,1,YES
Q7UKZ8,1,YES
Q00958,0,YES
Q57682,1,YES
Q89DB4,0,NO
O07458,1,YES
Q9J5B7,1,YES
Q58478,1,YES
Q94818,1,YES
P76049,1,YES
P08657,1,YES
Q58352,1,YES
P14083,1,YES
Q24185,1,YES
P74442,1,YES
P43041,0,NO
P16756,1,YES
Q03650,0,NO
P11675,0,YES
P50325,1,YES
P76141,1,YES
Q46079,0,NO
Q9BRK5,1,YES
P32787,0,YES
P55565,1,YES
Q99160,1,YES
P92553,0,NO
P14715,1,YES
Q8NXQ5,0,YES
P09274,1,YES
P40349,1,YES
P20543,0,YES
Q8WUR7,1,YES
Q834L8,1,YES
Q9UTG6,1,YES
Q04636,0,YES
P05946,1,YES
P25279,1,YES
P41672,0,NO
P80001,1,YES
Q45130,0,NO
Q46397,1,YES
P54245,1,YES
Q80YR5,1,YES
Q38796,1,YES
Q98MD2,1,YES
Q56201,1,YES
Q02406,0,YES
Q43125,0,YES
P14629,1,YES
P13232,0,YES
P43475,0,NO
P11637,0,YES
Q9SMV7,1,YES
P03691,1,YES
P35823,0,NO
P13893,0,NO
Q00121,0,NO
P46672,0,NO
P40948,1,YES
P17533,1,YES
P28809,1,YES
Q02441,0,YES
P53841,0,NO
Q9XSK8,1,YES
Q07683,1,YES
P36109,0,NO
P42506,1,YES
P21940,1,YES
P51707,0,NO
Q05282,0,NO
Q09742,0,NO
P30339,1,YES
Q9QUG3,1,YES
O07402,0,YES
Q08082,0,NO
Q27368,1,YES
P47042,1,YES
Q57584,1,YES
P49019,1,YES
P07383,1,YES
P55109,0,YES
Q8IN94,1,YES
P08740,1,YES
P0ACP3,1,YES
Q58949,0,YES
P45312,1,YES
P33358,1,YES
P22516,1,YES
O66398,0,NO
P23449,0,YES
Q00136,0,NO
P21228,1,YES
P53184,1,YES
P32797,0,YES
Q8R9V5,1,YES
P33785,1,YES
P96440,1,YES
Q05128,1,YES
Q87CU3,1,YES
P38008,0,NO
P11420,1,YES
Q7VRV7,1,YES
Q46797,0,YES
Q9H0R1,1,YES
Q45537,0,YES
Q13952,1,YES
P18493,1,YES
Q98H64,0,NO
P43139,1,YES
P29692,1,YES
Q99KC8,1,YES
Q05054,0,NO
P0AFP3,0,YES
Q01954,1,YES
P33339,1,YES
P47734,1,YES
P36057,1,YES
Q58737,1,YES
P41847,1,YES
Q9RZ89,1,YES
P06843,1,YES
P23250,1,YES
Q9T1W6,0,NO
Q92522,1,YES
P35883,1,YES
P43130,0,YES
P37246,1,YES
Q9ZDB2,0,NO
P45922,1,YES
P10226,1,YES
P52684,1,YES
Q9Y6J8,1,YES
P93284,1,YES
Q88QJ8,0,NO
P03853,0,NO
P33520,1,YES
P52044,1,YES
P06855,0,YES
P0ACT3,1,YES
P53216,0,YES
P33228,1,YES
P57766,1,YES
P08452,0,NO
P0AFN1,1,YES
Q9N0N3,1,YES
Q27152,1,YES
P38582,0,YES
Q24312,1,YES
Q58958,1,YES
P28903,0,YES
Q00566,1,YES
O43422,1,YES
Q62277,1,YES
Q02614,0,YES
P06777,1,YES
P39692,1,YES
P03603,0,NO
Q9CCB5,1,YES
O29749,1,YES
Q19196,1,YES
O75362,1,YES
Q9CN84,0,NO
Q00184,1,YES
Q8EWT6,1,YES
Q9NRY4,0,YES
Q08794,1,YES
Q00461,0,NO
P40962,1,YES
Q9UHN1,0,YES
O45291,1,YES
P77493,1,YES
Q62414,1,YES
Q12224,1,YES
O60281,1,YES
P06200,1,YES
O55055,1,YES
Q15127,1,YES
Q13571,1,YES
Q09790,1,YES
O94697,1,YES
P06990,1,YES
P35203,1,YES
P12274,1,YES
P25941,1,YES
P44651,0,NO
Q8EEN9,1,YES
P17051,1,YES
Q9JL35,1,YES
P24539,1,YES
Q40255,1,YES
O28145,0,NO
P64701,0,NO
P46330,1,YES
P14355,0,NO
Q09228,1,YES
Q21770,0,YES
Q8TK90,1,YES
Q8BUR3,1,YES
P56621,1,YES
P69608,0,NO
Q51485,0,NO
P41771,1,YES
P30333,1,YES
P37551,0,YES
O10360,1,YES
O29292,1,YES
Q02818,1,YES
Q9BRB3,0,NO
P34877,1,YES
P10027,1,YES
O31178,1,YES
Q27355,1,YES
Q8MJA0,1,YES
P17739,1,YES
Q09922,1,YES
Q9JU25,1,YES
Q10966,0,YES
P21538,1,YES
Q00577,1,YES
P16694,0,YES
P76165,0,NO
P50456,1,YES
Q58955,1,YES
P03698,0,NO
O05052,1,YES
P08392,1,YES
P51571,0,NO
P33948,1,YES
P09547,1,YES
Q09318,0,NO
P16804,1,YES
P49998,1,YES
Q40392,1,YES
P82634,0,NO
Q9URU2,1,YES
P42377,0,NO
P54159,1,YES
Q45620,1,YES
Q07635,1,YES
O67910,0,NO
Q10630,1,YES
Q58681,0,YES
Q08360,0,YES
P15822,1,YES
Q18211,1,YES
P52594,0,YES
P0AF11,0,NO
Q934T6,1,YES
Q82GP1,1,YES
Q9RBS1,0,YES
P67440,1,YES
Q08999,1,YES
P03043,1,YES
P37459,1,YES
P61635,1,YES
P03049,1,YES
O28150,0,NO
P47240,1,YES
P35251,1,YES
O34827,1,YES
P10265,0,YES
P39075,1,YES
P06733,0,YES
P0ACQ8,1,YES
P40971,1,YES
Q05605,1,YES
Q27974,1,YES
P40310,1,YES
P32788,0,NO
O22010,1,YES
Q8TJT3,0,NO
P11248,0,NO
Q9RFD3,1,YES
P56937,1,YES
P94560,0,NO
Q9V134,1,YES
Q96AB6,0,NO
O73954,1,YES
P30974,1,YES
Q24238,1,YES
P54005,0,NO
Q11103,0,NO
P52618,0,YES
P51721,1,YES
Q9PJW3,0,YES
Q03100,1,YES
Q8R890,1,YES
Q02122,0,NO
Q09821,1,YES
P21340,0,YES
P28925,0,YES
P46974,1,YES
P03127,1,YES
Q06552,0,NO
P75405,0,NO
P07386,0,NO
Q40152,1,YES
P04531,0,NO
Q04304,1,YES
Q60976,1,YES
Q86QH9,1,YES
Q9R9R6,0,NO
P37195,1,YES
Q9Y6V0,1,YES
Q09024,1,YES
P24718,1,YES
P21339,1,YES
O28286,0,YES
P33244,1,YES
Q52561,0,YES
O83131,1,YES
P56749,1,YES
P55413,0,NO
Q12968,1,YES
O05977,0,NO
P23689,0,NO
P29326,1,YES
P30020,1,YES
P28817,1,YES
Q9UKJ3,0,YES
O63066,1,YES
P61165,0,NO
P44554,1,YES
P12533,0,YES
P39781,1,YES
P03211,0,YES
P52661,1,YES
P43462,1,YES
P61109,0,NO
Q9PJK8,1,YES
P03754,1,YES
P64571,1,YES
Q01292,0,YES
Q91448,1,YES
P13837,0,NO
P87054,0,NO
P07271,1,YES
P24482,1,YES
P64761,1,YES
P68587,1,YES
O31454,0,YES
P50831,1,YES
O86737,1,YES
Q9V029,1,YES
P0AAV2,0,NO
Q19537,1,YES
P13310,0,NO
P25425,1,YES
P21207,1,YES
P19893,0,YES
P47092,0,YES
P28519,1,YES
O95825,1,YES
P10221,1,YES
P32459,1,YES
P20710,0,NO
P42940,1,YES
P55387,0,YES
Q99222,0,NO
Q9VLA2,1,YES
Q9K6A3,1,YES
P39255,0,NO
P30816,1,YES
O27318,0,NO
P46117,1,YES
P15593,1,YES
Q97JN9,1,YES
P41890,1,YES
P19655,1,YES
P16689,1,YES
P14107,0,NO
P40028,0,YES
P13574,1,YES
Q9W6S5,0,NO
Q9P6S0,1,YES
P67702,1,YES
Q57776,0,NO
P48383,1,YES
P21344,1,YES
Q9ZJA1,1,YES
P39983,0,NO
Q58345,0,NO
P49330,1,YES
P58216,1,YES
O94160,1,YES
O06719,0,NO
Q50418,1,YES
Q05294,0,NO
Q8TWK3,1,YES
O33817,1,YES
P75542,1,YES
Q8NFZ0,1,YES
P46908,1,YES
P0ACH0,0,NO
Q9LXB4,1,YES
Q58184,1,YES
Q00265,1,YES
Q9ZD50,1,YES
Q86B79,0,YES
Q09282,0,NO
P34444,0,YES
O64235,1,YES
O32272,1,YES
Q60386,1,YES
P06400,1,YES
P52659,1,YES
Q9P144,0,NO
P32807,1,YES
Q06163,0,NO
Q45119,1,YES
P55733,1,YES
O06987,1,YES
P10427,1,YES
P69620,1,YES
P40762,1,YES
Q98PK2,1,YES
Q32065,1,YES
Q9BWW4,0,YES
P39045,1,YES
P49125,1,YES
Q9V6G5,1,YES
Q60324,0,NO
P89029,0,NO
Q7WY67,0,NO
P0A599,1,YES
O34887,0,NO
P36417,1,YES
Q58495,1,YES
P16683,1,YES
P68676,1,YES
Q60611,1,YES
P37549,0,YES
P46068,1,YES
P18811,1,YES
Q05627,0,YES
P55265,1,YES
P37746,0,YES
P22035,1,YES
P22148,1,YES
Q83950,0,NO
P23179,1,YES
P03710,1,YES
P56820,0,NO
P12305,0,NO
Q8TWM7,1,YES
P03695,1,YES
P47170,1,YES
P44276,0,YES
P26993,1,YES
P09676,0,YES
P62017,1,YES
P54563,0,NO
P28159,1,YES
O32333,0,NO
Q94819,0,NO
Q42430,1,YES
Q9HR31,1,YES
Q03631,1,YES
P38146,1,YES
P11901,1,YES
O73673,1,YES
P51342,1,YES
O54101,1,YES
Q9WX14,1,YES
Q9LW85,1,YES
P0C0L4,1,YES
Q96KC8,1,YES
O24606,1,YES
P23692,1,YES
Q10340,0,NO
P16569,1,YES
P21077,1,YES
P23799,0,YES
O83731,1,YES
Q7RTV0,0,YES
P15281,0,YES
P37956,1,YES
P0A9M1,1,YES
P14707,1,YES
P44181,0,NO
P64176,1,YES
P38838,0,YES
P25370,0,NO
P44064,1,YES
P39769,1,YES
P43474,0,YES
P23393,0,NO
P45904,0,NO
Q9KTQ4,1,YES
P20050,0,YES
O28280,0,YES
O05103,1,YES
Q49434,1,YES
Q00750,1,YES
P12792,1,YES
Q9P0W8,0,YES
P37627,0,NO
Q8U705,1,YES
P14164,1,YES
Q96FV9,1,YES
P28953,0,YES
P25172,1,YES
O28420,0,NO
Q9KPS0,1,YES
Q57556,1,YES
Q9VMC8,0,YES
P77598,0,NO
P04132,1,YES
P21580,1,YES
Q9SVB7,1,YES
P13975,1,YES
P03735,1,YES
O42131,1,YES
P57220,1,YES
P23645,1,YES
P38890,1,YES
P76086,1,YES
Q57947,0,NO
Q9Z521,1,YES
P20570,0,NO
Q9HCU5,0,YES
P54323,0,NO
Q7XAD0,0,YES
P32151,0,NO
Q9UNN4,1,YES
P00214,0,YES
O58782,1,YES
Q9W0K4,1,YES
P25233,0,YES
P54332,1,YES
P07065,1,YES
P43941,0,NO
P47121,0,NO
P39650,1,YES
O43823,1,YES
P47974,1,YES
P44942,1,YES
P40007,1,YES
P52286,0,YES
P08546,1,YES
Q8R5U7,1,YES
P37790,1,YES
O76906,0,YES
Q10075,1,YES
P58034,1,YES
P53566,1,YES
P58722,0,YES
Q9NG98,1,YES
P20044,0,YES
P34111,1,YES
P45903,1,YES
Q8K482,1,YES
Q9ZKA2,1,YES
P45876,1,YES
P78424,1,YES
P47653,1,YES
O67672,0,NO
P15005,0,YES
P17960,0,NO
O28069,0,NO
P20845,1,YES
P21189,1,YES
Q57692,1,YES
P22901,1,YES
P03839,0,NO
P22026,0,NO
Q9L1A5,1,YES
P18179,0,YES
Q978N2,1,YES
P16192,0,NO
P32504,0,NO
P13121,0,YES
Q39057,1,YES
P64749,0,YES
P82107,1,YES
Q01347,0,NO
P49309,1,YES
P15038,1,YES
P34437,1,YES
P40497,0,NO
Q10663,1,YES
P10151,1,YES
P10579,0,NO
P11938,0,NO
P06965,1,YES
O51124,0,NO
P06243,1,YES
O67485,0,NO
Q52277,0,NO
P52693,1,YES
Q04502,0,NO
Q9NZ71,1,YES
P42658,1,YES
P21052,0,YES
Q8N8Q8,1,YES
P20311,1,YES
P39970,1,YES
O28092,1,YES
Q7VIU0,1,YES
Q9H579,0,YES
P14736,1,YES
P90953,1,YES
P36012,1,YES
P50832,0,YES
P42505,1,YES
P32367,1,YES
P22537,1,YES
P47034,0,NO
P41511,1,YES
Q9S3V0,1,YES
Q56562,0,NO
P16826,0,YES
P37510,1,YES
P38165,1,YES
P32522,0,YES
O60182,1,YES
P25847,1,YES
P20658,1,YES
P22643,1,YES
P51871,1,YES
P13988,0,NO
P42592,1,YES
Q83NU2,1,YES
P12616,0,NO
P33680,1,YES
P26608,0,YES
Q04437,1,YES
O74045,1,YES
P34456,1,YES
Q54513,1,YES
P97863,1,YES
P03187,1,YES
P08062,0,NO
P0A312,1,YES
P54445,0,NO
P28848,0,YES
Q00686,1,YES
P19828,0,YES
P14727,0,YES
Q03188,1,YES
P66798,1,YES
P45828,1,YES
Q9M630,1,YES
P45008,1,YES
Q9KWM8,0,NO
Q10138,1,YES
Q8GR90,0,NO
Q9X600,1,YES
Q55233,1,YES
Q7VKV0,1,YES
Q46864,1,YES
P92555,1,YES
Q9VHB6,1,YES
P03215,0,YES
P30420,1,YES
Q01239,0,NO
P08956,1,YES
P03254,0,YES
P38290,0,NO
P07078,0,NO
Q62093,1,YES
P77657,0,YES
P43997,0,NO
P13870,0,NO
P67669,1,YES
Q9PW19,0,NO
Q58113,1,YES
P0ACI8,1,YES
P94501,1,YES
P06279,1,YES
P44190,0,NO
Q9S1E6,1,YES
P20945,1,YES
Q86V15,1,YES
P56607,0,NO
Q9V8M5,1,YES
P24430,0,NO
Q7M2P1,0,NO
Q89AX2,1,YES
P46003,1,YES
P40809,1,YES
Q9Y6X0,0,YES
P68588,1,YES
P40819,0,YES
P0A5A6,1,YES
Q06819,1,YES
P13902,1,YES
Q23622,1,YES
P25635,1,YES
P13081,1,YES
P03798,0,YES
P45863,0,YES
